customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,order_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,payment_sequential,payment_type,payment_installments,payment_value,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
861eff4711a542e4b93843c6dd7febb0,14409,franca,SP,00e7ee1b050b8499577073aeb2a297a1,delivered,16/05/2017 15:05,16/05/2017 15:22,23/05/2017 10:47,25/05/2017 10:35,05/06/2017 00:00,1,credit_card,2,146.87,1,a9516a079e37a9c9c36b9b78b10169e8,7c67e1448b00f6e969d365cea6b010ab,22/05/2017 15:22,124.99,21.88,furniture_office,41,1141,1,8683.0,54.0,64.0,31.0
9eae34bbd3a474ec5d07949ca7de67c0,68030,santarem,PA,c1d2b34febe9cd269e378117d6681172,delivered,09/11/2017 00:50,10/11/2017 00:47,22/11/2017 01:43,28/11/2017 00:09,19/12/2017 00:00,1,credit_card,1,275.79,1,a9516a079e37a9c9c36b9b78b10169e8,7c67e1448b00f6e969d365cea6b010ab,23/11/2017 00:47,112.99,24.9,furniture_office,41,1141,1,8683.0,54.0,64.0,31.0
9eae34bbd3a474ec5d07949ca7de67c0,68030,santarem,PA,c1d2b34febe9cd269e378117d6681172,delivered,09/11/2017 00:50,10/11/2017 00:47,22/11/2017 01:43,28/11/2017 00:09,19/12/2017 00:00,1,credit_card,1,275.79,2,a9516a079e37a9c9c36b9b78b10169e8,7c67e1448b00f6e969d365cea6b010ab,23/11/2017 00:47,112.99,24.9,furniture_office,41,1141,1,8683.0,54.0,64.0,31.0
3c799d181c34d51f6d44bbbc563024db,92480,nova santa rita,RS,b1a5d5365d330d10485e0203d54ab9e8,delivered,07/05/2017 20:11,08/05/2017 22:22,19/05/2017 20:16,26/05/2017 09:54,12/06/2017 00:00,1,credit_card,7,140.61,1,a9516a079e37a9c9c36b9b78b10169e8,7c67e1448b00f6e969d365cea6b010ab,22/05/2017 22:22,124.99,15.62,furniture_office,41,1141,1,8683.0,54.0,64.0,31.0
23397e992b09769faf5e66f9e171a241,25931,mage,RJ,2e604b3614664aa66867856dba7e61b7,delivered,03/02/2018 19:45,04/02/2018 22:29,19/02/2018 18:21,28/02/2018 21:09,22/03/2018 00:00,1,credit_card,10,137.58,1,a9516a079e37a9c9c36b9b78b10169e8,7c67e1448b00f6e969d365cea6b010ab,18/02/2018 21:29,106.99,30.59,furniture_office,41,1141,1,8683.0,54.0,64.0,31.0
567ab47ca4deb92d46dbf54dce07d0a7,88460,angelina,SC,574fe1739f65af76badd0999db300b4f,delivered,23/03/2017 15:10,23/03/2017 15:25,28/03/2017 18:23,11/04/2017 10:16,24/04/2017 00:00,1,credit_card,5,142.05,1,a9516a079e37a9c9c36b9b78b10169e8,7c67e1448b00f6e969d365cea6b010ab,05/04/2017 15:25,126.99,15.06,furniture_office,41,1141,1,8683.0,54.0,64.0,31.0
f40ab89b622248b7ca125af4b486b887,32341,contagem,MG,e0b26f14d2bcc710bb02f77a4628763b,delivered,16/05/2017 10:00,17/05/2017 03:45,23/05/2017 10:35,29/05/2017 12:04,07/06/2017 00:00,1,ticket,1,155.7,1,a9516a079e37a9c9c36b9b78b10169e8,7c67e1448b00f6e969d365cea6b010ab,23/05/2017 03:45,124.99,30.71,furniture_office,41,1141,1,8683.0,54.0,64.0,31.0
749943913a9851a39c9baf51877fbab6,78134,varzea grande,MT,eaae5bd20fb15d85aa673d9b7c0e8ca5,delivered,18/03/2017 23:04,18/03/2017 23:04,28/03/2017 06:29,30/05/2017 09:19,27/04/2017 00:00,1,credit_card,2,148.33,1,a9516a079e37a9c9c36b9b78b10169e8,7c67e1448b00f6e969d365cea6b010ab,29/03/2017 23:04,126.99,21.34,furniture_office,41,1141,1,8683.0,54.0,64.0,31.0
432ecfa8b7b7ad2663c7abed0dc83c51,31270,belo horizonte,MG,c4e2bd2043fbd75b325a47adfabf0d77,delivered,15/03/2018 07:45,15/03/2018 07:55,27/03/2018 15:58,05/04/2018 12:37,19/04/2018 00:00,1,credit_card,3,150.07,1,a9516a079e37a9c9c36b9b78b10169e8,7c67e1448b00f6e969d365cea6b010ab,29/03/2018 07:55,116.99,33.08,furniture_office,41,1141,1,8683.0,54.0,64.0,31.0
31318a0597cd9d50ce4cfd03c80fe780,37540,santa rita do sapucai,MG,1c7fe02ac4c7be50c59afb295cf85b89,delivered,26/01/2018 13:22,30/01/2018 03:47,09/02/2018 13:17,20/02/2018 14:18,12/03/2018 00:00,1,ticket,1,257.5,1,a9516a079e37a9c9c36b9b78b10169e8,7c67e1448b00f6e969d365cea6b010ab,13/02/2018 03:47,106.99,21.76,furniture_office,41,1141,1,8683.0,54.0,64.0,31.0
31318a0597cd9d50ce4cfd03c80fe780,37540,santa rita do sapucai,MG,1c7fe02ac4c7be50c59afb295cf85b89,delivered,26/01/2018 13:22,30/01/2018 03:47,09/02/2018 13:17,20/02/2018 14:18,12/03/2018 00:00,1,ticket,1,257.5,2,a9516a079e37a9c9c36b9b78b10169e8,7c67e1448b00f6e969d365cea6b010ab,13/02/2018 03:47,106.99,21.76,furniture_office,41,1141,1,8683.0,54.0,64.0,31.0
83aca63b2193ea126b287f3ae61528d9,89115,gaspar,SC,5ee63c8c9ae2e5c38791b35932cf4c69,delivered,09/05/2017 11:30,09/05/2017 11:45,19/05/2017 19:32,29/05/2017 08:13,06/06/2017 00:00,1,credit_card,6,843.66,1,a9516a079e37a9c9c36b9b78b10169e8,7c67e1448b00f6e969d365cea6b010ab,23/05/2017 11:45,124.99,15.62,furniture_office,41,1141,1,8683.0,54.0,64.0,31.0
83aca63b2193ea126b287f3ae61528d9,89115,gaspar,SC,5ee63c8c9ae2e5c38791b35932cf4c69,delivered,09/05/2017 11:30,09/05/2017 11:45,19/05/2017 19:32,29/05/2017 08:13,06/06/2017 00:00,1,credit_card,6,843.66,2,a9516a079e37a9c9c36b9b78b10169e8,7c67e1448b00f6e969d365cea6b010ab,23/05/2017 11:45,124.99,15.62,furniture_office,41,1141,1,8683.0,54.0,64.0,31.0
83aca63b2193ea126b287f3ae61528d9,89115,gaspar,SC,5ee63c8c9ae2e5c38791b35932cf4c69,delivered,09/05/2017 11:30,09/05/2017 11:45,19/05/2017 19:32,29/05/2017 08:13,06/06/2017 00:00,1,credit_card,6,843.66,3,a9516a079e37a9c9c36b9b78b10169e8,7c67e1448b00f6e969d365cea6b010ab,23/05/2017 11:45,124.99,15.62,furniture_office,41,1141,1,8683.0,54.0,64.0,31.0
83aca63b2193ea126b287f3ae61528d9,89115,gaspar,SC,5ee63c8c9ae2e5c38791b35932cf4c69,delivered,09/05/2017 11:30,09/05/2017 11:45,19/05/2017 19:32,29/05/2017 08:13,06/06/2017 00:00,1,credit_card,6,843.66,4,a9516a079e37a9c9c36b9b78b10169e8,7c67e1448b00f6e969d365cea6b010ab,23/05/2017 11:45,124.99,15.62,furniture_office,41,1141,1,8683.0,54.0,64.0,31.0
83aca63b2193ea126b287f3ae61528d9,89115,gaspar,SC,5ee63c8c9ae2e5c38791b35932cf4c69,delivered,09/05/2017 11:30,09/05/2017 11:45,19/05/2017 19:32,29/05/2017 08:13,06/06/2017 00:00,1,credit_card,6,843.66,5,a9516a079e37a9c9c36b9b78b10169e8,7c67e1448b00f6e969d365cea6b010ab,23/05/2017 11:45,124.99,15.62,furniture_office,41,1141,1,8683.0,54.0,64.0,31.0
83aca63b2193ea126b287f3ae61528d9,89115,gaspar,SC,5ee63c8c9ae2e5c38791b35932cf4c69,delivered,09/05/2017 11:30,09/05/2017 11:45,19/05/2017 19:32,29/05/2017 08:13,06/06/2017 00:00,1,credit_card,6,843.66,6,a9516a079e37a9c9c36b9b78b10169e8,7c67e1448b00f6e969d365cea6b010ab,23/05/2017 11:45,124.99,15.62,furniture_office,41,1141,1,8683.0,54.0,64.0,31.0
acd02fc85cf6339f896c161af2b6abcd,96083,pelotas,RS,b1cc044d321053348a5e482ca7e6b2e3,delivered,30/01/2018 19:29,30/01/2018 19:54,09/02/2018 13:08,16/03/2018 01:41,20/03/2018 00:00,1,credit_card,1,145.58,1,a9516a079e37a9c9c36b9b78b10169e8,7c67e1448b00f6e969d365cea6b010ab,13/02/2018 19:54,106.99,38.59,furniture_office,41,1141,1,8683.0,54.0,64.0,31.0
67d6f91d256bdf128fc960a166f413d5,25640,petropolis,RJ,0d831c5aa932379c1cf5b0b1b40b214b,delivered,13/10/2017 10:36,13/10/2017 10:49,24/10/2017 18:58,01/11/2017 15:34,09/11/2017 00:00,1,credit_card,1,151.17,1,a9516a079e37a9c9c36b9b78b10169e8,7c67e1448b00f6e969d365cea6b010ab,25/10/2017 11:49,116.99,34.18,furniture_office,41,1141,1,8683.0,54.0,64.0,31.0
9e8993ba2665307b71bd1641c2e1cb3d,39495,montalvania,MG,27ae3ad0516a9b55f2236e24f690e01b,delivered,09/02/2017 16:19,09/02/2017 16:30,22/02/2017 03:51,03/03/2017 10:34,17/03/2017 00:00,1,credit_card,5,270.0,1,a9516a079e37a9c9c36b9b78b10169e8,7c67e1448b00f6e969d365cea6b010ab,18/02/2017 16:19,119.99,15.01,furniture_office,41,1141,1,8683.0,54.0,64.0,31.0
9e8993ba2665307b71bd1641c2e1cb3d,39495,montalvania,MG,27ae3ad0516a9b55f2236e24f690e01b,delivered,09/02/2017 16:19,09/02/2017 16:30,22/02/2017 03:51,03/03/2017 10:34,17/03/2017 00:00,1,credit_card,5,270.0,2,a9516a079e37a9c9c36b9b78b10169e8,7c67e1448b00f6e969d365cea6b010ab,18/02/2017 16:19,119.99,15.01,furniture_office,41,1141,1,8683.0,54.0,64.0,31.0
