review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
e64fb393e7b32834bb789ff8bb30750e,658677c97b385a9be170737859d3511b,5,,I received it well before the stipulated deadline.,42846,42846.91813
f7c4243c7fe1938f181bec41a392bdeb,8e6bfb81e283fa7e4f11123a3fb894f1,5,,"Congratulations lannister stores I loved shopping online, safe and practical Congratulations to everyone, happy Easter",43160,43161.43534
8670d52e15e00043ae7de4c01cc2fe06,b9bf720beb4ab3728760088589c62129,4,I recommend,efficient device. On the website the brand of the device is printed as 3disinfector and when it arrives it has a different name...update with the correct brand as it is the same device,43242,43243.69846
4b49719c8a200003f700d3d986ea1a19,9d6f15f95d01e79bd1349cc208361f09,4,,"But a little slow...for the price, it's good.",43147,43151.45303
3948b09f7c818e2d86c9a546758b2335,e51478e7e277a83743b6f9991dbfa3fb,5,I highly recommend,"Reliable seller, ok product and delivery on time.",43243,43244.12501
9314d6f9799f5bfba510cc7bcd468c01,0dacf04c5ad59fd5a0cc1faa07c34e39,2,,"I WOULD LIKE TO KNOW WHAT HAPPENED, I ALWAYS RECEIVED IT AND THIS PURCHASE NOW DISAPPOINTED ME",43118,43120.89288
373cbeecea8286a2b66c97b1b157ec46,583174fbe37d3d5f0d6661be3aad1786,1,My product didn't arrive,Terrible,43327,43327.17404
d21bbc789670eab777d27372ab9094cc,4fc44d78867142c627497b60a7e0228a,5,Excellent,Store note 10,43291,43292.59057
0e0190b9db53b689b285d3f3916f8441,79832b7cb59ac6f887088ffd686e1d5e,5,,thank you for the attention you gave me,43070,43078.95762
fe3db7c069d694bab50cc43463f91608,2ca73e2ff9e3a186ad1e1ffb9b1d9c10,5,,"The purchase was made easily.
Delivery was made well before the deadline given.
The product has already started to be used and to date,
no problem.",43182,43191.01934
e07eee7ad7666276bd8b27fbd83fd1ff,68b3cbc68e4cd1fe19bec35f1d3bb7ee,5,,very beautiful and cheap watch.,43188,43192.59689
2c5e27fc178bde7ac173c9c62c31b070,0ce9a24111d850192a933fcaab6fbad3,1,,Did not like ! I bought a pig in a poke,43082,43085.30147
58044bca115705a48fe0e00a21390c54,68e55ca79d04a79f20d4bfc0146f4b66,1,,"I always buy online and delivery occurs before the agreed deadline, which I believe is the maximum deadline. Stark, the maximum deadline has already passed and I still haven't received the product.",43198,43199.51573
c92cdd7dd544a01aa35137f901669cdf,37e7875cdce5a9e5b3a692971f370151,4,Very good.,"I received exactly what I expected. Other orders from other sellers were delayed, but this one arrived on time.",43258,43260.78058
08c9d79ec0eba1d252e3f52f14b8e6a9,e029f708df3cc108b3264558771605c6,5,Good,"I recommend ,",43264,43264.95468
2170c9452c2216457b36003fe2969fbb,af32671d0b8ce510a94d9111d97371d3,5,,very good,43181,43189.98432
b193ff3c9f32a01f3a0d9ae26b94d244,e2e6ee1ed2d7f2f36b05d234983bd7a0,5,Wonderful!,"I'm completely in love, super responsible and reliable store!",43322,43323.01543
9fd59cd04b42f600df9f25e54082a8d1,3c314f50bc654f3c4e317b055681dff9,1,,My order never arrived.,42846,42848.23406
86c5cfa7fcbde303f704b60a78ced7d6,a6456e781cb962cc3f412b04de4fed7b,5,Perfect delivery,Very good. very fragrant.,43264,43265.72851
